"chr" "start" "end"
"1" "chr4" 29087 29584
"2" "chr4" 236026 236407
"3" "chr4" 238222 238692
"4" "chr4" 252893 253439
"5" "chr4" 323852 324291
"6" "chr4" 333789 334219
"7" "chr4" 596393 597016
"8" "chr4" 657465 657825
"9" "chr4" 667996 668364
"10" "chr4" 677740 678340
"11" "chr4" 694744 695175
"12" "chr4" 736394 736791
"13" "chr4" 756282 756737
"14" "chr4" 780807 781237
"15" "chr4" 786157 786548
"16" "chr4" 807645 808088
"17" "chr4" 822656 823109
"18" "chr4" 870479 870928
"19" "chr4" 874514 874824
"20" "chr4" 885526 885980
"21" "chr4" 890007 890431
"22" "chr4" 920230 920694
"23" "chr4" 926325 926909
"24" "chr4" 980899 981497
"25" "chr4" 989393 990170
"26" "chr4" 1003372 1003663
"27" "chr4" 1003780 1004348
"28" "chr4" 1009005 1009375
"29" "chr4" 1026223 1026647
"30" "chr4" 1037168 1037598
"31" "chr4" 1044600 1045069
"32" "chr4" 1066645 1067250
"33" "chr4" 1086005 1086461
"34" "chr4" 1110575 1111022
"35" "chr4" 1124331 1124940
"36" "chr4" 1160909 1161519
"37" "chr4" 1188066 1188454
"38" "chr4" 1227665 1228095
"39" "chr4" 1237187 1237562
"40" "chr4" 1252212 1252601
"41" "chr4" 1261709 1262152
"42" "chr4" 1271730 1272178
"43" "chr4" 1279914 1280381
"44" "chr4" 1312309 1312931
"45" "chr4" 1339676 1340100
"46" "chr4" 1345630 1346260
"47" "chr4" 1348319 1348743
"48" "chr4" 1349999 1350359
"49" "chr4" 1359490 1359997
"50" "chr4" 1402166 1402594
"51" "chr4" 1405809 1406146
"52" "chr4" 1514872 1515519
"53" "chr4" 1550551 1550976
"54" "chr4" 1580868 1581519
"55" "chr4" 1598087 1598532
"56" "chr4" 1606622 1607046
"57" "chr4" 1608259 1608734
"58" "chr4" 1630833 1631234
"59" "chr4" 1695104 1695726
"60" "chr4" 1727940 1728387
"61" "chr4" 1729672 1730165
"62" "chr4" 1731461 1731858
"63" "chr4" 1747884 1748308
"64" "chr4" 1750349 1750712
"65" "chr4" 1761445 1761869
"66" "chr4" 1765062 1765691
"67" "chr4" 1769551 1770010
"68" "chr4" 1779898 1780274
"69" "chr4" 1784087 1784457
"70" "chr4" 1811649 1812416
"71" "chr4" 1815627 1816062
"72" "chr4" 1858300 1858724
"73" "chr4" 1900964 1901585
"74" "chr4" 1912381 1912759
"75" "chr4" 1914708 1915339
"76" "chr4" 1994221 1994658
"77" "chr4" 2010775 2011161
"78" "chr4" 2011224 2011486
"79" "chr4" 2011506 2011961
"80" "chr4" 2088868 2089298
"81" "chr4" 2170254 2170575
"82" "chr4" 2179394 2179860
"83" "chr4" 2188057 2188494
"84" "chr4" 2221706 2222123
"85" "chr4" 2244028 2244347
"86" "chr4" 2245272 2245708
"87" "chr4" 2267571 2268012
"88" "chr4" 2282236 2282666
"89" "chr4" 2283204 2283678
"90" "chr4" 2331855 2332251
"91" "chr4" 2355888 2356339
"92" "chr4" 2398514 2398896
"93" "chr4" 2414633 2414987
"94" "chr4" 2415046 2415471
"95" "chr4" 2420362 2420734
"96" "chr4" 2420824 2421289
"97" "chr4" 2438005 2438429
"98" "chr4" 2443371 2444167
"99" "chr4" 2464423 2464853
"100" "chr4" 2537005 2537498
"101" "chr4" 2600324 2600810
"102" "chr4" 2632640 2633064
"103" "chr4" 2674870 2675497
"104" "chr4" 2713928 2714367
"105" "chr4" 2757628 2758114
"106" "chr4" 2763204 2763599
"107" "chr4" 2765825 2766185
"108" "chr4" 2789367 2789817
"109" "chr4" 2801960 2802233
"110" "chr4" 2912112 2912557
"111" "chr4" 2932582 2933037
"112" "chr4" 2933571 2934010
"113" "chr4" 2936949 2937355
"114" "chr4" 2950599 2951023
"115" "chr4" 2956527 2957534
"116" "chr4" 2963685 2964120
"117" "chr4" 2965083 2965728
"118" "chr4" 2980133 2980509
"119" "chr4" 3010997 3011437
"120" "chr4" 3039052 3039380
"121" "chr4" 3049106 3049478
"122" "chr4" 3075163 3075590
"123" "chr4" 3076006 3076468
"124" "chr4" 3108287 3108729
"125" "chr4" 3138143 3138575
"126" "chr4" 3147191 3147625
"127" "chr4" 3152991 3153320
"128" "chr4" 3195503 3195934
"129" "chr4" 3209107 3209602
"130" "chr4" 3235533 3236085
"131" "chr4" 3248246 3248703
"132" "chr4" 3320251 3320740
"133" "chr4" 3325744 3326168
"134" "chr4" 3342532 3342900
"135" "chr4" 3347760 3348402
"136" "chr4" 3401550 3402032
"137" "chr4" 3420113 3420569
"138" "chr4" 3436535 3436959
"139" "chr4" 3445210 3445821
"140" "chr4" 3454155 3454595
"141" "chr4" 3467984 3468427
"142" "chr4" 3482255 3482665
"143" "chr4" 3516484 3516946
"144" "chr4" 3557945 3558375
"145" "chr4" 3574079 3574540
"146" "chr4" 3749162 3749639
"147" "chr4" 3767116 3767627
"148" "chr4" 3768698 3769128
"149" "chr4" 3769263 3769665
"150" "chr4" 3785452 3785876
"151" "chr4" 3787907 3788352
"152" "chr4" 3794472 3794951
"153" "chr4" 3882325 3882938
"154" "chr4" 3895314 3895711
"155" "chr4" 3943990 3944585
"156" "chr4" 3951652 3952076
"157" "chr4" 3986434 3986996
"158" "chr4" 4109208 4109786
"159" "chr4" 4147359 4148001
"160" "chr4" 4184602 4185014
"161" "chr4" 4249748 4250641
"162" "chr4" 4254452 4254839
"163" "chr4" 4261871 4262316
"164" "chr4" 4273633 4274061
"165" "chr4" 4329305 4329935
"166" "chr4" 4336986 4337327
"167" "chr4" 4386519 4386958
"168" "chr4" 4397554 4398050
"169" "chr4" 4428812 4429242
"170" "chr4" 4432280 4432915
"171" "chr4" 4482277 4482901
"172" "chr4" 4490111 4490496
"173" "chr4" 4509619 4510069
"174" "chr4" 4513516 4513965
"175" "chr4" 4521015 4521441
"176" "chr4" 4526041 4526481
"177" "chr4" 4576929 4577440
"178" "chr4" 4596932 4597399
"179" "chr4" 4668994 4669381
"180" "chr4" 4670897 4671270
"181" "chr4" 4679924 4680348
"182" "chr4" 4691471 4691831
"183" "chr4" 4695832 4696259
"184" "chr4" 4727778 4728230
"185" "chr4" 4763259 4763683
"186" "chr4" 4782555 4782985
"187" "chr4" 4854232 4854663
"188" "chr4" 4862569 4863016
"189" "chr4" 4869201 4869629
"190" "chr4" 4882225 4882676
"191" "chr4" 4890469 4890893
"192" "chr4" 4903627 4904066
"193" "chr4" 4987510 4987949
"194" "chr4" 4996830 4997200
"195" "chr4" 5019823 5020286
"196" "chr4" 5052121 5052496
"197" "chr4" 5052870 5053433
"198" "chr4" 5144455 5145101
"199" "chr4" 5379715 5380162
"200" "chr4" 5389188 5389618
"201" "chr4" 5401573 5401933
"202" "chr4" 5411754 5412396
"203" "chr4" 5461859 5462248
"204" "chr4" 5636376 5636841
"205" "chr4" 5712227 5712699
"206" "chr4" 5713394 5713698
"207" "chr4" 5786531 5787107
"208" "chr4" 5791988 5792380
"209" "chr4" 5806312 5806749
"210" "chr4" 5814677 5815195
"211" "chr4" 5823317 5823741
"212" "chr4" 5826369 5826793
"213" "chr4" 5981706 5982136
"214" "chr4" 6000048 6000623
"215" "chr4" 6021389 6021777
"216" "chr4" 6034315 6034897
"217" "chr4" 6046527 6046959
"218" "chr4" 6078083 6078514
"219" "chr4" 6089422 6089846
"220" "chr4" 6111960 6112416
"221" "chr4" 6136275 6136718
"222" "chr4" 6193229 6193589
"223" "chr4" 6252436 6252792
"224" "chr4" 6265887 6266284
"225" "chr4" 6329021 6329376
"226" "chr4" 6332776 6333381
"227" "chr4" 6333753 6334147
"228" "chr4" 6335586 6335975
"229" "chr4" 6336722 6337152
"230" "chr4" 6345517 6345953
"231" "chr4" 6364007 6364366
"232" "chr4" 6383922 6384378
"233" "chr4" 6429429 6429853
"234" "chr4" 6475797 6476445
"235" "chr4" 6548354 6548962
"236" "chr4" 6550241 6550667
"237" "chr4" 6551184 6551608
"238" "chr4" 6575636 6576126
"239" "chr4" 6576784 6577195
"240" "chr4" 6593542 6594074
"241" "chr4" 6610354 6610791
"242" "chr4" 6666256 6666681
"243" "chr4" 6676361 6676833
"244" "chr4" 6682328 6682765
"245" "chr4" 6682849 6683516
"246" "chr4" 6689743 6690167
"247" "chr4" 6690481 6691089
"248" "chr4" 6691717 6692176
"249" "chr4" 6703110 6703549
"250" "chr4" 6710930 6711663
"251" "chr4" 6717741 6718235
"252" "chr4" 6721934 6722332
"253" "chr4" 6765288 6765718
"254" "chr4" 6781539 6781930
"255" "chr4" 6784969 6785432
"256" "chr4" 6874986 6875432
"257" "chr4" 6875704 6876301
"258" "chr4" 6887897 6888421
"259" "chr4" 6894079 6894535
"260" "chr4" 6909441 6909894
"261" "chr4" 6910982 6911432
"262" "chr4" 6912321 6912919
"263" "chr4" 6919404 6919794
"264" "chr4" 6976099 6976511
"265" "chr4" 6988299 6988888
"266" "chr4" 7039088 7039525
"267" "chr4" 7044739 7045192
"268" "chr4" 7069172 7069535
"269" "chr4" 7070104 7070504
"270" "chr4" 7072459 7073151
"271" "chr4" 7083734 7084160
"272" "chr4" 7103723 7104319
"273" "chr4" 7126756 7127186
"274" "chr4" 7153500 7153950
"275" "chr4" 7158567 7158938
"276" "chr4" 7187773 7188421
"277" "chr4" 7188964 7189328
"278" "chr4" 7191479 7191903
"279" "chr4" 7193925 7194380
"280" "chr4" 7196109 7196555
"281" "chr4" 7239984 7240607
"282" "chr4" 7297651 7298293
"283" "chr4" 7325635 7326059
"284" "chr4" 7330478 7330975
"285" "chr4" 7335522 7335946
"286" "chr4" 7337520 7337880
"287" "chr4" 7394669 7395103
"288" "chr4" 7399780 7400182
"289" "chr4" 7464150 7464750
"290" "chr4" 7652385 7652825
"291" "chr4" 7655514 7655968
"292" "chr4" 7700244 7700674
"293" "chr4" 7706800 7707271
"294" "chr4" 7721309 7721907
"295" "chr4" 7723631 7724099
"296" "chr4" 7763365 7763770
"297" "chr4" 7772001 7772468
"298" "chr4" 7803857 7804245
"299" "chr4" 7805694 7806128
"300" "chr4" 7817290 7817728
"301" "chr4" 7845991 7846363
"302" "chr4" 7847401 7847864
"303" "chr4" 7852202 7852635
"304" "chr4" 7863220 7863584
"305" "chr4" 7877796 7878249
"306" "chr4" 7919350 7919744
"307" "chr4" 7930809 7931254
"308" "chr4" 7960809 7961261
"309" "chr4" 7966206 7966593
"310" "chr4" 7989140 7989721
"311" "chr4" 8017186 8017657
"312" "chr4" 8023515 8023964
"313" "chr4" 8112336 8112773
"314" "chr4" 8169943 8170408
"315" "chr4" 8178539 8178909
"316" "chr4" 8189830 8190160
"317" "chr4" 8194356 8194811
"318" "chr4" 8240178 8240610
"319" "chr4" 8243867 8244285
"320" "chr4" 8262441 8262790
"321" "chr4" 8268851 8269254
"322" "chr4" 8276575 8276999
"323" "chr4" 8279381 8279764
"324" "chr4" 8307581 8308024
"325" "chr4" 8311000 8311386
"326" "chr4" 8322072 8322554
"327" "chr4" 8344405 8344864
"328" "chr4" 8395435 8395882
"329" "chr4" 8404877 8405266
"330" "chr4" 8408561 8409197
"331" "chr4" 8412298 8412732
"332" "chr4" 8430448 8430876
"333" "chr4" 8439001 8439425
"334" "chr4" 8470442 8470838
"335" "chr4" 8474784 8475251
"336" "chr4" 8548771 8549195
"337" "chr4" 8586920 8587373
"338" "chr4" 8588310 8588741
"339" "chr4" 8596134 8596536
"340" "chr4" 8609342 8609709
"341" "chr4" 8689867 8690292
"342" "chr4" 8746066 8746490
"343" "chr4" 8821609 8821931
"344" "chr4" 8887529 8887960
"345" "chr4" 8888673 8889162
"346" "chr4" 8919747 8920317
"347" "chr4" 8942910 8943334
"348" "chr4" 8963067 8963491
"349" "chr4" 9002167 9002605
"350" "chr4" 9104800 9105294
"351" "chr4" 9125267 9125890
"352" "chr4" 9150334 9150772
"353" "chr4" 9154923 9155225
"354" "chr4" 9160061 9160490
"355" "chr4" 9167686 9168246
"356" "chr4" 9382864 9383472
"357" "chr4" 9497092 9497522
"358" "chr4" 9533636 9534084
"359" "chr4" 9579464 9579888
"360" "chr4" 9661314 9661742
"361" "chr4" 9697529 9698024
"362" "chr4" 9705068 9705649
"363" "chr4" 9764691 9765087
"364" "chr4" 9766620 9767243
"365" "chr4" 9900260 9900686
"366" "chr4" 9929235 9929670
"367" "chr4" 10015367 10015968
"368" "chr4" 10016804 10017441
"369" "chr4" 10020341 10020756
"370" "chr4" 10065336 10065760
"371" "chr4" 10076284 10076665
"372" "chr4" 10091047 10091471
"373" "chr4" 10142887 10143459
"374" "chr4" 10159379 10159734
"375" "chr4" 10161881 10162298
"376" "chr4" 10166442 10166866
"377" "chr4" 10174886 10175326
"378" "chr4" 10188266 10188709
"379" "chr4" 10193991 10194369
"380" "chr4" 10262359 10262793
"381" "chr4" 10405346 10405803
"382" "chr4" 10462911 10463506
"383" "chr4" 10528037 10528461
"384" "chr4" 10539609 10540222
"385" "chr4" 10551306 10551666
"386" "chr4" 10556254 10556614
"387" "chr4" 10583687 10584074
"388" "chr4" 10594741 10595171
"389" "chr4" 10624217 10624745
"390" "chr4" 10895001 10895454
"391" "chr4" 11220333 11220712
"392" "chr4" 11420168 11420592
"393" "chr4" 11425596 11426058
"394" "chr4" 11430458 11430888
"395" "chr4" 11490776 11491210
"396" "chr4" 11499068 11499503
"397" "chr4" 11625289 11625739
"398" "chr4" 11721935 11722313
"399" "chr4" 11767460 11768083
"400" "chr4" 11807460 11807884
"401" "chr4" 11955712 11956145
"402" "chr4" 12043491 12043855
"403" "chr4" 12411420 12411782
"404" "chr4" 12597599 12598029
"405" "chr4" 12634681 12635060
"406" "chr4" 12680659 12681286
"407" "chr4" 12725403 12725833
"408" "chr4" 12726096 12726539
"409" "chr4" 12730978 12731414
"410" "chr4" 12846649 12847084
"411" "chr4" 12853889 12854334
"412" "chr4" 13109697 13110127
"413" "chr4" 13250514 13250948
"414" "chr4" 13432885 13433331
"415" "chr4" 13543277 13544046
"416" "chr4" 13550492 13550924
"417" "chr4" 13600841 13601326
"418" "chr4" 13629280 13629766
"419" "chr4" 13646683 13647146
"420" "chr4" 13655681 13656567
"421" "chr4" 13658109 13658463
"422" "chr4" 13823152 13823582
"423" "chr4" 13861634 13862103
"424" "chr4" 13883442 13883829
"425" "chr4" 13908733 13909170
"426" "chr4" 13934845 13935250
"427" "chr4" 13968092 13968543
"428" "chr4" 14145520 14145950
"429" "chr4" 14255850 14256274
"430" "chr4" 14387816 14388246
"431" "chr4" 14598464 14598894
"432" "chr4" 14751475 14751960
"433" "chr4" 14789482 14789931
"434" "chr4" 14839462 14839923
"435" "chr4" 14873709 14874137
"436" "chr4" 14898822 14899246
"437" "chr4" 15003096 15003621
"438" "chr4" 15008038 15008468
"439" "chr4" 15044822 15045252
"440" "chr4" 15145888 15146318
"441" "chr4" 15151374 15151804
"442" "chr4" 15164318 15164791
"443" "chr4" 15198587 15199104
"444" "chr4" 15232962 15233512
"445" "chr4" 15240304 15240733
"446" "chr4" 15397840 15398205
"447" "chr4" 15459150 15459797
"448" "chr4" 15480574 15480948
"449" "chr4" 15515194 15515597
"450" "chr4" 15651590 15651961
"451" "chr4" 15683127 15683715
"452" "chr4" 15731540 15731919
"453" "chr4" 15738895 15739335
"454" "chr4" 15758110 15758561
"455" "chr4" 15780922 15781352
"456" "chr4" 15807230 15807608
"457" "chr4" 15807792 15808293
"458" "chr4" 15849685 15850226
"459" "chr4" 15884211 15884635
"460" "chr4" 15957140 15957675
"461" "chr4" 15957870 15958269
"462" "chr4" 15964705 15965132
"463" "chr4" 15965773 15966217
"464" "chr4" 15978258 15978688
"465" "chr4" 16003038 16003429
"466" "chr4" 16027544 16028172
"467" "chr4" 16198090 16198478
"468" "chr4" 16200755 16201163
"469" "chr4" 16207161 16207592
"470" "chr4" 16266444 16266878
"471" "chr4" 16272512 16272977
"472" "chr4" 16279791 16280248
"473" "chr4" 16291488 16291913
"474" "chr4" 16445108 16445537
"475" "chr4" 16452317 16452776
"476" "chr4" 16507275 16507741
"477" "chr4" 16510574 16511025
"478" "chr4" 16518398 16518797
"479" "chr4" 16584120 16584576
"480" "chr4" 16644459 16644909
"481" "chr4" 16753780 16754192
"482" "chr4" 16766234 16766669
"483" "chr4" 16796460 16797086
"484" "chr4" 16886260 16886694
"485" "chr4" 16915817 16916219
"486" "chr4" 16918371 16918758
"487" "chr4" 17113833 17114278
"488" "chr4" 17126354 17126836
"489" "chr4" 17174880 17175332
"490" "chr4" 17281862 17282309
"491" "chr4" 17325997 17326603
"492" "chr4" 17334116 17334548
"493" "chr4" 17348999 17349464
"494" "chr4" 17449324 17449700
"495" "chr4" 17470154 17470807
"496" "chr4" 17473944 17474368
"497" "chr4" 17513654 17514321
"498" "chr4" 17550699 17551091
"499" "chr4" 17563735 17564175
"500" "chr4" 17578982 17579551
"501" "chr4" 17599120 17599570
"502" "chr4" 17616069 17616696
"503" "chr4" 17638409 17638779
"504" "chr4" 17649561 17650002
